year,region,whole,b0_30,b30_100,b100_200
2010,chukchi,1.3038627688258226,4.82327069999315,0.6916416214748011,-1.176746262383977
2010,beaufort,2.128929537095056,4.818474525914472,0.68850172515149,-0.19444211376064477
2011,chukchi,1.5941756548088812,6.307907608523111,0.7585302688849257,-0.8360939232523955
2011,beaufort,1.5728298352744106,4.056344194732008,0.16088342227113112,-0.2789967073653674
2012,chukchi,0.7878224062721003,4.541212256228469,0.12608790915750204,-1.3559070991005204
2012,beaufort,2.2758717929746175,4.466318207033438,1.272010522432966,-0.2233613757803068
2013,chukchi,1.0691966315797914,4.825844024656354,0.40852728493337453,-1.1697647635752884
2013,beaufort,0.7768896099189956,2.5299237709786313,-0.19639337064133067,-0.6140467686094551
2014,chukchi,1.1838970211217272,4.960211327549514,0.5232558379848746,-1.2653739878349126
2014,beaufort,0.945037881305004,2.9627800362419983,-0.15021277056102864,-0.7455753734298837
2015,chukchi,1.888078707138404,5.935644829236675,1.1836091917248874,-0.9435964898591185
2015,beaufort,1.473984218208829,3.8393960457437624,0.16180248705910943,-0.4067590451274636
2016,chukchi,1.3710797011926488,5.904766742047959,0.5741941380131039,-1.3560116291828366
2016,beaufort,2.2917978296456902,4.85258133235655,1.0452309894789982,-0.3682513994356277
2017,chukchi,2.0085118061326694,6.174840580371167,1.2791112837650205,-0.6635962481876319
2017,beaufort,2.128310074796842,4.758617160386841,0.6489821143654594,0.10938406089253355
2018,chukchi,2.03741439103371,7.536336814870991,1.0671564212034357,-1.0588123837476897
2018,beaufort,1.4302120154201545,3.4288025252006404,0.3561355707230295,-0.2830075387064406
2019,chukchi,2.826135254876516,8.68892921671484,1.7972264233846686,-0.7912005136687706
2019,beaufort,2.968667075075267,5.092571061714859,1.9671997787820816,0.6461331330810952
2020,chukchi,1.0949086016831373,6.053589334973048,0.21115373284459577,-1.194815439142862
2020,beaufort,1.1603527231346547,3.1109892399053543,0.10379422374096064,-0.4821625519445712
2021,chukchi,0.9347953141207911,4.915138122531704,0.23149329208992994,-1.2499963235333842
2021,beaufort,1.4252925653014088,3.6802044889833176,0.21038926130514593,-0.4966205852284138
2022,chukchi,0.8371794177640102,4.7937705623770235,0.13708023045167225,-1.277967986556661
2022,beaufort,1.0337145922138258,3.149762265427109,-0.16112638450136677,-0.5734833419236101
2023,chukchi,1.2283158204266271,5.547945691557233,0.4665080813222866,-1.2249602390858367
2023,beaufort,1.5949447341981395,4.259315402267733,0.1207519846104243,-0.5372452041661501
2024,chukchi,0.932354792963492,4.497249119899247,0.3063319480707534,-1.244918073821375
2024,beaufort,1.9217469269637515,3.986471584269427,0.9021593251817247,-0.17102340385906967
