zone,forecaster,lead,bin,n,p_mean,o_freq
ai_central,damped_persistence,6,3,2,0.34891602507188957,0.5
ai_central,damped_persistence,6,9,1,0.995,1.0
ai_central,persistence,6,0,150,0.06831964012700044,0.24666666666666667
ai_central,persistence,6,1,38,0.1285150872896458,0.34210526315789475
ai_central,persistence,6,2,8,0.24470333297558916,0.25
ai_central,persistence,6,3,6,0.34318021042219526,0.3333333333333333
ai_central,persistence,6,4,3,0.4213661756388462,0.6666666666666666
ai_central,persistence,6,5,6,0.5315168978438587,0.3333333333333333
ai_central,persistence,6,6,2,0.6425119663615118,0.5
ai_central,persistence,6,7,4,0.7450039241240617,0.0
ai_central,persistence,6,8,28,0.8648671637451576,0.35714285714285715
ai_central,persistence,6,9,45,0.9547118734691834,0.4222222222222222
ai_central,pnt_persistence,6,0,149,0.06478041186546375,0.22818791946308725
ai_central,pnt_persistence,6,1,35,0.1368416824065191,0.4
ai_central,pnt_persistence,6,2,10,0.23640864014609372,0.2
ai_central,pnt_persistence,6,3,3,0.3452790549169859,0.3333333333333333
ai_central,pnt_persistence,6,5,1,0.5555555555555556,0.0
ai_central,pnt_persistence,6,6,2,0.6899816970867862,0.5
ai_central,pnt_persistence,6,7,5,0.7459681572642204,0.8
ai_central,pnt_persistence,6,8,24,0.8551843400513895,0.25
ai_central,pnt_persistence,6,9,61,0.9517216420713411,0.4262295081967213
ai_east,climatology,1,0,141,0.09186211744750797,0.22695035460992907
ai_east,climatology,1,1,154,0.11605371681722867,0.19480519480519481
ai_east,damped_persistence,1,0,225,0.05603496768560651,0.07555555555555556
ai_east,damped_persistence,1,1,13,0.12510839134870577,0.3076923076923077
ai_east,damped_persistence,1,2,7,0.24360780809236443,0.5714285714285714
ai_east,damped_persistence,1,4,1,0.40268456375838924,1.0
ai_east,damped_persistence,1,5,1,0.5119047619047619,1.0
ai_east,damped_persistence,1,7,1,0.7992125984251969,0.0
ai_east,damped_persistence,1,8,4,0.854036828605365,0.25
ai_east,damped_persistence,1,9,43,0.9806618924542373,0.7906976744186046
ai_east,persistence,1,0,218,0.04501457085807045,0.06422018348623854
ai_east,persistence,1,1,11,0.13363338741067762,0.36363636363636365
ai_east,persistence,1,2,1,0.25,0.0
ai_east,persistence,1,4,4,0.45589052673218217,0.25
ai_east,persistence,1,5,3,0.5404665744998969,0.3333333333333333
ai_east,persistence,1,6,1,0.6100478468899522,1.0
ai_east,persistence,1,7,2,0.7973425311444872,0.5
ai_east,persistence,1,8,6,0.86816558623465,0.6666666666666666
ai_east,persistence,1,9,49,0.9803102452061248,0.7346938775510204
ai_east,pnt_persistence,1,0,220,0.042460066345135175,0.06818181818181818
ai_east,pnt_persistence,1,1,8,0.13620477922960286,0.375
ai_east,pnt_persistence,1,2,1,0.22746781115879827,0.0
ai_east,pnt_persistence,1,4,2,0.4379703318715825,0.0
ai_east,pnt_persistence,1,5,3,0.5538764015091131,0.3333333333333333
ai_east,pnt_persistence,1,6,2,0.6279355588772629,0.5
ai_east,pnt_persistence,1,8,5,0.8739903310759732,0.6
ai_east,pnt_persistence,1,9,54,0.9776050819902671,0.7222222222222222
ai_east,climatology,2,0,136,0.09180171439933267,0.23529411764705882
ai_east,climatology,2,1,158,0.1157251793942718,0.18354430379746836
ai_east,damped_persistence,2,0,194,0.07574626606017858,0.1134020618556701
ai_east,damped_persistence,2,1,53,0.13299074936923075,0.18867924528301888
ai_east,damped_persistence,2,2,5,0.23872986064187632,0.6
ai_east,damped_persistence,2,3,3,0.329513205845036,0.6666666666666666
ai_east,damped_persistence,2,5,2,0.5706264464548706,1.0
ai_east,damped_persistence,2,6,2,0.6359388464624254,0.0
ai_east,damped_persistence,2,7,2,0.7879531831362456,1.0
ai_east,damped_persistence,2,8,6,0.8632012852209194,0.8333333333333334
ai_east,damped_persistence,2,9,27,0.9699254658831241,0.5555555555555556
ai_east,persistence,2,0,196,0.06048726656040709,0.11734693877551021
ai_east,persistence,2,1,27,0.15475475649093975,0.07407407407407407
ai_east,persistence,2,2,3,0.2786358860833926,0.3333333333333333
ai_east,persistence,2,3,5,0.35065169980110616,0.2
ai_east,persistence,2,4,2,0.4794018160769843,0.5
ai_east,persistence,2,5,3,0.5620536433070016,0.6666666666666666
ai_east,persistence,2,6,2,0.6398341949840218,0.0
ai_east,persistence,2,7,2,0.792618479372656,0.0
ai_east,persistence,2,8,7,0.8472577732748617,0.2857142857142857
ai_east,persistence,2,9,47,0.9695524156875934,0.6170212765957447
ai_east,pnt_persistence,2,0,209,0.05715501947117307,0.11004784688995216
ai_east,pnt_persistence,2,1,12,0.13259951922601185,0.16666666666666666
ai_east,pnt_persistence,2,2,3,0.25878653558846515,0.0
ai_east,pnt_persistence,2,3,1,0.3797752808988764,1.0
ai_east,pnt_persistence,2,5,2,0.5640128317293671,0.5
ai_east,pnt_persistence,2,7,3,0.7289021237012628,0.3333333333333333
ai_east,pnt_persistence,2,8,11,0.8588242979547057,0.18181818181818182
ai_east,pnt_persistence,2,9,53,0.9687896813418938,0.5849056603773585
ai_east,climatology,3,0,133,0.09185986178573939,0.23308270676691728
ai_east,climatology,3,1,160,0.11572848102868231,0.1875
ai_east,damped_persistence,3,0,172,0.08480140553318193,0.13953488372093023
ai_east,damped_persistence,3,1,87,0.13368470217611075,0.20689655172413793
ai_east,damped_persistence,3,2,6,0.23226874675981543,0.6666666666666666
ai_east,damped_persistence,3,3,1,0.340632603406326,1.0
ai_east,damped_persistence,3,4,3,0.46177666223816755,1.0
ai_east,damped_persistence,3,5,1,0.5947242206235012,0.0
ai_east,damped_persistence,3,6,2,0.676425492987689,0.5
ai_east,damped_persistence,3,7,2,0.7615162664486352,0.5
ai_east,damped_persistence,3,8,4,0.877415170896289,0.5
ai_east,damped_persistence,3,9,15,0.9744651682665967,0.4666666666666667
ai_east,persistence,3,0,164,0.06960867225184153,0.14634146341463414
ai_east,persistence,3,1,42,0.12650442548776641,0.09523809523809523
ai_east,persistence,3,2,17,0.2586559620931507,0.058823529411764705
ai_east,persistence,3,3,6,0.31868987437644397,0.6666666666666666
ai_east,persistence,3,4,2,0.45173418854960434,0.5
ai_east,persistence,3,5,7,0.5547751377883243,0.14285714285714285
ai_east,persistence,3,6,2,0.6541325989855402,0.5
ai_east,persistence,3,8,7,0.8343843763123101,0.0
ai_east,persistence,3,9,46,0.9662149074629898,0.5434782608695652
ai_east,pnt_persistence,3,0,181,0.06745292879904889,0.143646408839779
ai_east,pnt_persistence,3,1,37,0.12898523839535161,0.13513513513513514
ai_east,pnt_persistence,3,2,2,0.2884435067979372,0.0
ai_east,pnt_persistence,3,3,2,0.34901921295363914,0.5
ai_east,pnt_persistence,3,4,3,0.45481051219242136,0.0
