zone,forecaster,lead,stratum,n,brier,reliability,resolution,uncertainty,base_rate,bss_clim,bss_pers,sedi_climrate,sedi_p50,auc
ai_east,pnt_persistence,1,all,295,0.11439368071303348,0.017332287769902675,0.06751599592593559,0.16599827635736855,0.21016949152542372,0.3604070011477335,-0.026042990640741337,0.7765164907358485,0.7901981908655212,0.8630762840924825
ai_east,climatology,1,pre2014,144,0.04984691752122214,0.004088002173892959,3.9311581904755084e-05,0.04624807098765432,0.04861111111111111,0.0,0.1405055366159944,-0.0,-0.0,0.5818561001042752
ai_east,damped_persistence,1,pre2014,144,0.05212132035014404,0.015495960784669811,0.009358973243293418,0.04624807098765432,0.04861111111111111,-0.04562775276833486,0.10128873573495645,0.27772165777162866,0.5306593253149419,0.6850886339937434
ai_east,persistence,1,pre2014,144,0.05799562375883682,0.01916222250913678,0.008336249282227964,0.04624807098765432,0.04861111111111111,-0.16347462677397062,0.0,0.13947987607242596,0.47743441403397024,0.6892596454640251
ai_east,pnt_persistence,1,pre2014,144,0.06009198352549747,0.018486445908858205,0.004507751122334457,0.04624807098765432,0.04861111111111111,-0.2055305827068148,-0.03614686127660138,0.4426162224831775,0.47743441403397024,0.7340980187695516
ai_east,climatology,1,post2014,151,0.301880360529851,0.07147776856334119,0.0018505411393702467,0.2315687908425069,0.36423841059602646,0.0,-0.8576705863337475,-0.0,-0.0,0.38910984848484853
ai_east,damped_persistence,1,post2014,151,0.17071365863659163,0.038660257422129335,0.09750053641721247,0.2315687908425069,0.36423841059602646,0.4344989573453525,-0.050514653480604466,0.7069440782760338,0.6902286914062415,0.8604166666666667
ai_east,persistence,1,post2014,151,0.16250478569811164,0.029528663946945897,0.09765588396286143,0.2315687908425069,0.36423841059602646,0.4616914283099163,0.0,0.7648293936203802,0.7692276154444933,0.862310606060606
ai_east,pnt_persistence,1,post2014,151,0.1661780806799552,0.030492732224963924,0.09365580505818716,0.2315687908425069,0.36423841059602646,0.4495233794332145,-0.022604226491320212,0.7648293936203802,0.7648293936203802,0.8651515151515152
ai_east,climatology,2,all,294,0.17652516598208612,0.011996462604472324,0.0006657618700627585,0.16443380073117683,0.20748299319727892,0.0,-0.07235044789661438,-0.0,-0.0,0.45563920354604937
ai_east,damped_persistence,2,all,294,0.15020125741172258,0.024972283811766752,0.03863438286378997,0.16443380073117683,0.20748299319727892,0.1491226954746776,0.0875613413872065,0.5910556792911589,0.528858577880615,0.7246886653064096
ai_east,persistence,2,all,294,0.16461518371007847,0.03771842746074889,0.03749107964055341,0.16443380073117683,0.20748299319727892,0.06746903313047325,0.0,0.6031264502278257,0.5920793594026844,0.734362907197636
ai_east,pnt_persistence,2,all,294,0.17741012985472637,0.049367358320406035,0.035840191821210975,0.16443380073117683,0.20748299319727892,-0.0050132448125275175,-0.07772640321674373,0.5919594040028707,0.5913390262127552,0.744459297825934
ai_east,climatology,2,pre2014,143,0.04429504523346794,0.004343952777315401,0.0001569159367882384,0.04019756467308915,0.04195804195804196,0.0,0.3056817658394534,-0.0,-0.0,0.6472019464720195
ai_east,damped_persistence,2,pre2014,143,0.04269062856248251,0.00908146307349982,0.006742334887584133,0.04019756467308915,0.04195804195804196,0.036221131788644834,0.3308307581022417,-0.0,-0.4750008469047673,0.6982968369829684
ai_east,persistence,2,pre2014,143,0.06379645968396912,0.027367090552303516,0.003765203368813545,0.04019756467308915,0.04195804195804196,-0.4402617572171825,0.0,0.6829069959717915,0.31266209673313666,0.6873479318734793
ai_east,pnt_persistence,2,pre2014,143,0.07566837378397462,0.03698883274147576,0.0013535961416206172,0.04019756467308915,0.04195804195804196,-0.7082807656058556,-0.18609048462588418,0.47500084690396177,0.24020177420370586,0.6514598540145986
ai_east,climatology,2,post2014,151,0.3017497174195192,0.0754453834712923,0.005564234626425537,0.2315687908425069,0.36423841059602646,0.0,-0.16016300389785054,-0.0,-0.0,0.3721590909090909
ai_east,damped_persistence,2,post2014,151,0.2520159589047115,0.06746783253581719,0.046334800903312115,0.2315687908425069,0.36423841059602646,0.16481791247434185,0.03105264053455503,0.4337136608650205,0.4337136608650205,0.6862689393939394
ai_east,persistence,2,post2014,151,0.26009251838381114,0.07667048926246922,0.048620662789455864,0.2315687908425069,0.36423841059602646,0.13805215591235354,0.0,0.49856248881991855,0.4766115562580593,0.6893939393939392
ai_east,pnt_persistence,2,post2014,151,0.2737615942131204,0.08084830658149593,0.038637313615854665,0.2315687908425069,0.36423841059602646,0.09275277354274125,-0.05255466752464666,0.5023233608486743,0.4801991415352212,0.6997159090909092
ai_east,climatology,3,all,293,0.17684574418179108,0.011865944635839185,0.0005150348351630158,0.1648475812181854,0.20819112627986347,0.0,0.0897166648939538,-0.0,-0.0,0.4656938948558508
ai_east,damped_persistence,3,all,293,0.17255601846866594,0.02869625989249134,0.021524401947435046,0.1648475812181854,0.20819112627986347,0.024256878405371496,0.11179729706805719,0.3902314820829478,0.2700305488372414,0.6525579423403053
ai_east,persistence,3,all,293,0.19427549353211976,0.0571530483621168,0.02951806368773595,0.1648475812181854,0.20819112627986347,-0.09855905456459002,0.0,0.42707374235309953,0.43344726752146817,0.6646763708309779
ai_east,pnt_persistence,3,all,293,0.20926863537023901,0.06826959647761169,0.023584197978385714,0.1648475812181854,0.20819112627986347,-0.18333995730832164,-0.07717464290286524,0.4292232561844902,0.44717395428044343,0.6814584511023177
