zone,forecaster,lead,stratum,n_at_risk,n_onset,onset_rate,onset_auc,pod,pofd,far,sedi
ai_central,hurdle,2,pre2014,129,10,0.07751937984496124,0.4521008403361344,0.1,0.07563025210084033,0.9,0.06037919634953395
ai_central,hurdle,2,post2014,78,25,0.32051282051282054,0.5916981132075472,0.48,0.41509433962264153,0.6470588235294118,0.15088105270437505
ai_central,hurdle,3,all,206,35,0.16990291262135923,0.6034252297410192,0.42857142857142855,0.26900584795321636,0.7540983606557377,0.26981112467307733
ai_central,hurdle,3,pre2014,128,10,0.078125,0.44872881355932204,0.0,0.11864406779661017,1.0,-0.7179536625864998
ai_central,hurdle,3,post2014,78,25,0.32051282051282054,0.5064150943396226,0.6,0.6037735849056604,0.6808510638297872,0.04936825098592953
ai_central,hurdle,6,all,203,35,0.1724137931034483,0.5735544217687074,0.4857142857142857,0.23214285714285715,0.6964285714285714,0.34883295195027036
ai_central,hurdle,6,pre2014,125,10,0.08,0.2965217391304348,0.0,0.0782608695652174,1.0,-0.701220456770855
ai_central,hurdle,6,post2014,78,25,0.32051282051282054,0.5388679245283019,0.68,0.5660377358490566,0.6382978723404256,0.1397061604975841
ai_central,lim_cs,1,all,208,35,0.16826923076923078,0.659867877786953,0.5142857142857142,0.1907514450867052,0.6470588235294118,0.4614568780880661
ai_central,lim_cs,1,pre2014,130,10,0.07692307692307693,0.7200000000000001,0.4,0.06666666666666667,0.6666666666666666,0.5312815224154881
ai_central,lim_cs,1,post2014,78,25,0.32051282051282054,0.6324528301886793,0.56,0.4716981132075472,0.6410256410256411,0.12704383740488578
ai_central,lim_cs,2,all,207,35,0.16908212560386474,0.5312292358803987,0.34285714285714286,0.28488372093023256,0.8032786885245902,0.07865480070701433
ai_central,lim_cs,2,pre2014,129,10,0.07751937984496124,0.45630252100840335,0.0,0.15126050420168066,1.0,-0.761945923625936
ai_central,lim_cs,2,post2014,78,25,0.32051282051282054,0.5456603773584905,0.48,0.5849056603773585,0.7209302325581395,-0.15088105270437507
ai_central,lim_cs,3,all,206,35,0.16990291262135923,0.5381787802840434,0.37142857142857144,0.26900584795321636,0.7796610169491526,0.15370578334670343
ai_central,lim_cs,3,pre2014,128,10,0.078125,0.4483050847457627,0.0,0.1271186440677966,1.0,-0.7423976102285178
ai_central,lim_cs,3,post2014,78,25,0.32051282051282054,0.5215094339622641,0.52,0.5849056603773585,0.7045454545454546,-0.0937780453039047
ai_central,lim_cs,6,all,203,35,0.1724137931034483,0.5954081632653062,0.45714285714285713,0.20238095238095238,0.68,0.3728571172458007
ai_central,lim_cs,6,pre2014,125,10,0.08,0.5156521739130435,0.1,0.06086956521739131,0.875,0.10228086904338193
ai_central,lim_cs,6,post2014,78,25,0.32051282051282054,0.5449056603773585,0.6,0.5094339622641509,0.6428571428571429,0.13068772540302123
ai_central,lim_ice,1,all,208,35,0.16826923076923078,0.7175061932287365,0.5714285714285714,0.2138728323699422,0.6491228070175439,0.4982623492416481
ai_central,lim_ice,1,pre2014,130,10,0.07692307692307693,0.7683333333333333,0.4,0.13333333333333333,0.8,0.40900638720165056
ai_central,lim_ice,1,post2014,78,25,0.32051282051282054,0.6483018867924528,0.64,0.39622641509433965,0.5675675675675675,0.3438533087796152
ai_central,lim_ice,2,all,207,35,0.16908212560386474,0.5537375415282393,0.4857142857142857,0.38372093023255816,0.7951807228915663,0.12208737287631077
ai_central,lim_ice,2,pre2014,129,10,0.07751937984496124,0.41680672268907565,0.0,0.226890756302521,1.0,-0.8179067192473785
ai_central,lim_ice,2,post2014,78,25,0.32051282051282054,0.48830188679245284,0.68,0.7358490566037735,0.6964285714285714,-0.08559191917834988
ai_central,lim_ice,3,all,206,35,0.16990291262135923,0.6488721804511277,0.6285714285714286,0.3567251461988304,0.7349397590361446,0.40439213039224176
ai_central,lim_ice,3,pre2014,128,10,0.078125,0.43389830508474575,0.2,0.13559322033898305,0.8888888888888888,0.1691238740412504
ai_central,lim_ice,3,post2014,78,25,0.32051282051282054,0.5366037735849056,0.8,0.8490566037735849,0.6923076923076923,-0.08770805609145656
ai_central,lim_ice,6,all,203,35,0.1724137931034483,0.6528911564625851,0.5428571428571428,0.30952380952380953,0.7323943661971831,0.32343473839513653
ai_central,lim_ice,6,pre2014,125,10,0.08,0.4747826086956522,0.0,0.06956521739130435,1.0,-0.6779466431142992
ai_central,lim_ice,6,post2014,78,25,0.32051282051282054,0.4656603773584906,0.76,0.8301886792452831,0.6984126984126984,-0.11863382406451066
ai_central,lim_k10,1,all,208,35,0.16826923076923078,0.7542526837324525,0.5428571428571428,0.18497109826589594,0.6274509803921569,0.5036510125756986
ai_central,lim_k10,1,pre2014,130,10,0.07692307692307693,0.8062499999999999,0.3,0.09166666666666666,0.7857142857142857,0.35739398220844815
ai_central,lim_k10,1,post2014,78,25,0.32051282051282054,0.6618867924528302,0.64,0.39622641509433965,0.5675675675675675,0.3438533087796152
ai_central,lim_k10,2,all,207,35,0.16908212560386474,0.5931063122923588,0.5142857142857142,0.36046511627906974,0.775,0.22088199627967303
ai_central,lim_k10,2,pre2014,129,10,0.07751937984496124,0.4172268907563026,0.1,0.23529411764705882,0.9655172413793104,-0.24703803475453873
ai_central,lim_k10,2,post2014,78,25,0.32051282051282054,0.5192452830188679,0.68,0.6415094339622641,0.6666666666666666,0.05738132897968491
ai_central,lim_k10,3,all,206,35,0.16990291262135923,0.6479532163742691,0.6285714285714286,0.3684210526315789,0.7411764705882353,0.3432359364627323
ai_central,lim_k10,3,pre2014,128,10,0.078125,0.40338983050847455,0.2,0.1694915254237288,0.9090909090909091,0.06895135340608412
